h_id,h_county,h_lat,h_lon,h_Workers,d_id,d_county,d_lat,d_lon
1,Waller,30.0105971,-95.9882877,359,1,Austin,29.8569279,-96.2443229
1,Waller,30.0105971,-95.9882877,122,2,Brazoria,29.1610141,-95.4534698
1,Waller,30.0105971,-95.9882877,21,3,Chambers,29.7384562,-94.6081095
1,Waller,30.0105971,-95.9882877,40,4,Colorado,29.6309593,-96.5443489
1,Waller,30.0105971,-95.9882877,1487,5,Fort Bend,29.520214,-95.787262
1,Waller,30.0105971,-95.9882877,143,6,Galveston,29.3757357,-94.9611889
1,Waller,30.0105971,-95.9882877,9687,7,Harris,29.829487,-95.4614249
1,Waller,30.0105971,-95.9882877,50,8,Liberty,30.1509076,-94.8587991
1,Waller,30.0105971,-95.9882877,17,9,Matagorda,28.8152727,-96.0284508
1,Waller,30.0105971,-95.9882877,1141,10,Montgomery,30.3209926,-95.5279082
1,Waller,30.0105971,-95.9882877,101,11,Walker,30.7154629,-95.5878106
1,Waller,30.0105971,-95.9882877,27,13,Wharton,29.2649159,-96.2705795
