h_id,h_county,h_lat,h_lon,h_Workers,d_id,d_county,d_lat,d_lon
1,Austin,29.8866295,-96.2769282,63,2,Brazoria,29.1610141,-95.4534698
1,Austin,29.8866295,-96.2769282,6,3,Chambers,29.7384562,-94.6081095
1,Austin,29.8866295,-96.2769282,285,4,Colorado,29.6309593,-96.5443489
1,Austin,29.8866295,-96.2769282,1069,5,Fort Bend,29.520214,-95.787262
1,Austin,29.8866295,-96.2769282,19,6,Galveston,29.3757357,-94.9611889
1,Austin,29.8866295,-96.2769282,4771,7,Harris,29.829487,-95.4614249
1,Austin,29.8866295,-96.2769282,43,8,Liberty,30.1509076,-94.8587991
1,Austin,29.8866295,-96.2769282,4,9,Matagorda,28.8152727,-96.0284508
1,Austin,29.8866295,-96.2769282,370,10,Montgomery,30.3209926,-95.5279082
1,Austin,29.8866295,-96.2769282,84,11,Walker,30.7154629,-95.5878106
1,Austin,29.8866295,-96.2769282,708,12,Waller,29.9363935,-96.0026834
1,Austin,29.8866295,-96.2769282,146,13,Wharton,29.2649159,-96.2705795
