h_id,h_county,h_lat,h_lon,h_Workers,d_id,d_county,d_lat,d_lon
1,Chambers,29.7384562,-94.6081095,7,1,Austin,29.8569279,-96.2443229
1,Chambers,29.7384562,-94.6081095,266,2,Brazoria,29.1610141,-95.4534698
1,Chambers,29.7384562,-94.6081095,4,4,Colorado,29.6309593,-96.5443489
1,Chambers,29.7384562,-94.6081095,341,5,Fort Bend,29.520214,-95.787262
1,Chambers,29.7384562,-94.6081095,433,6,Galveston,29.3757357,-94.9611889
1,Chambers,29.7384562,-94.6081095,10984,7,Harris,29.829487,-95.4614249
1,Chambers,29.7384562,-94.6081095,310,8,Liberty,30.1509076,-94.8587991
1,Chambers,29.7384562,-94.6081095,5,9,Matagorda,28.8152727,-96.0284508
1,Chambers,29.7384562,-94.6081095,438,10,Montgomery,30.3209926,-95.5279082
1,Chambers,29.7384562,-94.6081095,87,11,Walker,30.7154629,-95.5878106
1,Chambers,29.7384562,-94.6081095,27,12,Waller,29.9363935,-96.0026834
1,Chambers,29.7384562,-94.6081095,23,13,Wharton,29.2649159,-96.2705795
