h_id,h_county,h_lat,h_lon,h_Workers,d_id,d_county,d_lat,d_lon
1,Brazoria,29.187748,-95.4463217,126,1,Austin,29.8569279,-96.2443229
1,Brazoria,29.187748,-95.4463217,47717,2,Brazoria,29.1610141,-95.4534698
1,Brazoria,29.187748,-95.4463217,302,3,Chambers,29.7163792,-94.6962763
1,Brazoria,29.187748,-95.4463217,37,4,Colorado,29.6309593,-96.5443489
1,Brazoria,29.187748,-95.4463217,6568,5,Fort Bend,29.520214,-95.787262
1,Brazoria,29.187748,-95.4463217,7129,6,Galveston,29.3294758,-94.8954605
1,Brazoria,29.187748,-95.4463217,74608,7,Harris,29.829487,-95.4614249
1,Brazoria,29.187748,-95.4463217,206,8,Liberty,30.1509076,-94.8587991
1,Brazoria,29.187748,-95.4463217,1020,9,Matagorda,28.8152727,-96.0284508
1,Brazoria,29.187748,-95.4463217,1898,10,Montgomery,30.3209926,-95.5279082
1,Brazoria,29.187748,-95.4463217,395,11,Walker,30.7154629,-95.5878106
1,Brazoria,29.187748,-95.4463217,191,12,Waller,29.9363935,-96.0026834
1,Brazoria,29.187748,-95.4463217,403,13,Wharton,29.2649159,-96.2705795
