h_id,h_county,h_lat,h_lon,h_Workers,d_id,d_county,d_lat,d_lon
1,Wharton,29.2777815,-96.2222824,127,1,Austin,29.8569279,-96.2443229
1,Wharton,29.2777815,-96.2222824,727,2,Brazoria,29.1610141,-95.4534698
1,Wharton,29.2777815,-96.2222824,20,3,Chambers,29.7384562,-94.6081095
1,Wharton,29.2777815,-96.2222824,238,4,Colorado,29.6309593,-96.5443489
1,Wharton,29.2777815,-96.2222824,1893,5,Fort Bend,29.520214,-95.787262
1,Wharton,29.2777815,-96.2222824,292,6,Galveston,29.3757357,-94.9611889
1,Wharton,29.2777815,-96.2222824,5153,7,Harris,29.829487,-95.4614249
1,Wharton,29.2777815,-96.2222824,22,8,Liberty,30.1509076,-94.8587991
1,Wharton,29.2777815,-96.2222824,511,9,Matagorda,28.8152727,-96.0284508
1,Wharton,29.2777815,-96.2222824,300,10,Montgomery,30.3209926,-95.5279082
1,Wharton,29.2777815,-96.2222824,31,11,Walker,30.7154629,-95.5878106
1,Wharton,29.2777815,-96.2222824,98,12,Waller,29.9363935,-96.0026834
